Food Item,Day,Meal,Serving Location,Portion,Forecast,Prepared,Leftover,Served,When the food ran out,Any Distinctions?,How much food was wasted (%),Forecast vs. Prepared
Yellow Rice,3/31/25,Lunch,East Side (Taqueria),1/2 Cup,320,400,50,350,,VGN,0.125,1.25
Zucchini & Crookneck Squash,2/23/25,Brunch,Blue Plate Special,1/2 Cup,110,90,10,80,,VGN,0.1111111111,0.8181818182
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
,,,,,,,,0,,,#DIV/0!,
